"S","rmsd","rmsd_refine","E_conf","E_place","E_refine"
"-18.471582","62.73629","0.74346483","-4216.0889","22.126541","-18.471582"
"-18.331558","45.970078","2.524359","-4212.5625","21.866148","-18.331558"
"-18.212387","73.992119","1.1172155","-4228.4463","21.527349","-18.212387"
"-18.195965","81.491722","0.80077088","-4215.9165","21.18594","-18.195965"
"-17.169386","62.412956","0.49493176","-4215.3105","21.516508","-17.169386"
"-17.136322","70.914223","1.9036847","-4214.9858","22.04286","-17.136322"
"-16.958166","59.467606","1.3741105","-4216.7769","21.214258","-16.958166"
"-16.193909","68.298737","1.2667795","-4233.7754","22.086658","-16.193909"
"-15.677287","94.457207","3.9778903","-4233.0879","19.520363","-15.677287"
"-14.156377","74.326195","1.4152769","-4227.269","21.641785","-14.156377"
"-11.075702","81.345993","1.462635","-4217.6621","21.337042","-11.075702"
"-9.7063656","66.847313","1.5104747","-4231.3726","20.000751","-9.7063656"
"-8.6614561","45.682823","2.8895078","-4218.8682","21.382401","-8.6614561"
"-6.5829291","79.335899","2.2644582","-4222.3159","20.898623","-6.5829291"
"-6.5248981","95.748466","1.1907438","-4173.3916","21.703705","-6.5248981"
