"S","rmsd","rmsd_refine","E_conf","E_place","E_refine"
"-16.663857","40.309319","0.99195522","-4311.5552","20.378296","-16.663857"
"-15.720321","72.565666","1.0102739","-4312.9263","19.215878","-15.720321"
"-15.620443","35.598904","1.0238461","-4301.3975","20.697039","-15.620443"
"-14.893946","53.191189","0.63468164","-4326.7544","20.453321","-14.893946"
"-14.4243","50.859676","2.0313711","-4319.1455","20.275463","-14.4243"
"-14.132092","41.043102","31.616348","-4314.7983","20.734354","-14.132092"
"-9.705471","66.057831","1.4922031","-4326.0078","17.629662","-9.705471"
"-9.5005198","97.226196","0.63530177","-4238.5991","20.224777","-9.5005198"
"-8.894968","45.807133","2.8537726","-4313.1631","18.966221","-8.894968"
"-7.9497323","95.432838","1.0971547","-4254.3799","19.271215","-7.9497323"
"-6.7787676","79.166885","2.1920567","-4316.9766","18.477003","-6.7787676"
"-3.8010671","69.541161","1.1254752","-4356.9668","19.909153","-3.8010671"
"-2.5488002","93.596725","2.8971896","633558.56","20.005741","-2.5488002"
